Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
South Africa,ZAF,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,4.7
South Africa,ZAF,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,11.68
South Africa,ZAF,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,20.69
South Africa,ZAF,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,26.05
South Africa,ZAF,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,32.2
South Africa,ZAF,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.64
South Africa,ZAF,1965,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,42.57
South Africa,ZAF,1960,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,46.11
South Africa,ZAF,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.65
South Africa,ZAF,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,10.41
South Africa,ZAF,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.5
South Africa,ZAF,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,5.24
South Africa,ZAF,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,11.24
South Africa,ZAF,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,19.05
South Africa,ZAF,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,26.29
South Africa,ZAF,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,32.14
South Africa,ZAF,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,37.78
South Africa,ZAF,1965,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,42.11
South Africa,ZAF,1960,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,46.05
South Africa,ZAF,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.45
South Africa,ZAF,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.81
South Africa,ZAF,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,6.9
South Africa,ZAF,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.89
South Africa,ZAF,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.58
South Africa,ZAF,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,12.1
South Africa,ZAF,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,16.88
South Africa,ZAF,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,20.27
South Africa,ZAF,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,28
South Africa,ZAF,1965,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,35.4
South Africa,ZAF,1960,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,39
South Africa,ZAF,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.51
South Africa,ZAF,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.14
South Africa,ZAF,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,6.67
South Africa,ZAF,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,3.16
South Africa,ZAF,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,4.22
South Africa,ZAF,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,11.5
South Africa,ZAF,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,18.4
South Africa,ZAF,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,23.32
South Africa,ZAF,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,28.9
South Africa,ZAF,1965,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,34.6
South Africa,ZAF,1960,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,40.6
South Africa,ZAF,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.81
South Africa,ZAF,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.7
South Africa,ZAF,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,9.23
South Africa,ZAF,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,3.58
South Africa,ZAF,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,8.25
South Africa,ZAF,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,16.9
South Africa,ZAF,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,20.27
South Africa,ZAF,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,27.57
South Africa,ZAF,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,35.4
South Africa,ZAF,1965,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,36.87
South Africa,ZAF,1960,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,44
South Africa,ZAF,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.14
South Africa,ZAF,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,4.53
South Africa,ZAF,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,8.76
South Africa,ZAF,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,4.22
South Africa,ZAF,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,8.22
South Africa,ZAF,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,15.7
South Africa,ZAF,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,23.3
South Africa,ZAF,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,26.37
South Africa,ZAF,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,34.6
South Africa,ZAF,1965,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,37.08
South Africa,ZAF,1960,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,44.6
South Africa,ZAF,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,9.13
South Africa,ZAF,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,15.25
South Africa,ZAF,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,22.55
South Africa,ZAF,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,4.89
South Africa,ZAF,1990,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,14.99
South Africa,ZAF,1985,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,26.9
South Africa,ZAF,1980,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,32.13
South Africa,ZAF,1975,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,38.13
South Africa,ZAF,1970,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,43.58
South Africa,ZAF,1965,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,46.87
South Africa,ZAF,1960,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,50
South Africa,ZAF,2010,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,7.82
South Africa,ZAF,2005,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,13.45
South Africa,ZAF,2000,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,20.22
South Africa,ZAF,1995,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,5.48
South Africa,ZAF,1990,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,14.2
South Africa,ZAF,1985,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,24.8
South Africa,ZAF,1980,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,31.66
South Africa,ZAF,1975,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,36.87
South Africa,ZAF,1970,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,41.91
South Africa,ZAF,1965,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,45.67
South Africa,ZAF,1960,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,49.5
South Africa,ZAF,2010,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,2.01
South Africa,ZAF,2005,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,6.73
South Africa,ZAF,2000,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,11.87
South Africa,ZAF,1995,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,3.58
South Africa,ZAF,1990,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,11.22
South Africa,ZAF,1985,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,16.9
South Africa,ZAF,1980,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,27.04
South Africa,ZAF,1975,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,32.97
South Africa,ZAF,1970,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,35.4
South Africa,ZAF,1965,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,42.81
South Africa,ZAF,1960,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,44
South Africa,ZAF,2010,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,1.92
South Africa,ZAF,2005,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,6.3
South Africa,ZAF,2000,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,10.91
South Africa,ZAF,1995,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,4.22
South Africa,ZAF,1990,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,10.97
South Africa,ZAF,1985,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,15.7
South Africa,ZAF,1980,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,23.3
South Africa,ZAF,1975,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,33.73
South Africa,ZAF,1970,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,34.6
South Africa,ZAF,1965,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,42.26
South Africa,ZAF,1960,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,44.6
South Africa,ZAF,2010,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,3.68
South Africa,ZAF,2005,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,8.17
South Africa,ZAF,2000,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,18.06
South Africa,ZAF,1995,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,4.32
South Africa,ZAF,1990,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,11.22
South Africa,ZAF,1985,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,26.4
South Africa,ZAF,1980,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,30.01
South Africa,ZAF,1975,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,32.97
South Africa,ZAF,1970,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,42.3
South Africa,ZAF,1965,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,42.81
South Africa,ZAF,1960,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,49.7
South Africa,ZAF,2010,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,3.3
South Africa,ZAF,2005,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,7.48
South Africa,ZAF,2000,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,16.33
South Africa,ZAF,1995,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,5.18
South Africa,ZAF,1990,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,10.97
South Africa,ZAF,1985,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,24.5
South Africa,ZAF,1980,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,32.7
South Africa,ZAF,1975,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,33.73
South Africa,ZAF,1970,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,40.9
South Africa,ZAF,1965,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,42.26
South Africa,ZAF,1960,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,49
South Africa,ZAF,2010,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,3.68
South Africa,ZAF,2005,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,14.5
South Africa,ZAF,2000,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,18.06
South Africa,ZAF,1995,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,4.32
South Africa,ZAF,1990,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,16.88
South Africa,ZAF,1985,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,26.4
South Africa,ZAF,1980,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,30.01
South Africa,ZAF,1975,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,37.97
South Africa,ZAF,1970,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,42.3
South Africa,ZAF,1965,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,48.15
South Africa,ZAF,1960,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,49.7
South Africa,ZAF,2010,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,3.3
South Africa,ZAF,2005,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,12.82
South Africa,ZAF,2000,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,16.33
South Africa,ZAF,1995,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,5.18
South Africa,ZAF,1990,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,16.24
South Africa,ZAF,1985,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,24.5
South Africa,ZAF,1980,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,32.7
South Africa,ZAF,1975,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,37.19
South Africa,ZAF,1970,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,40.9
South Africa,ZAF,1965,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,46.79
South Africa,ZAF,1960,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,49
South Africa,ZAF,2010,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,10.16
South Africa,ZAF,2005,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,14.5
South Africa,ZAF,2000,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,25.86
South Africa,ZAF,1995,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,5.29
South Africa,ZAF,1990,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,16.88
South Africa,ZAF,1985,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,26.4
South Africa,ZAF,1980,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,32.76
South Africa,ZAF,1975,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,41.08
South Africa,ZAF,1970,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,47.6
South Africa,ZAF,1965,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,48.15
South Africa,ZAF,1960,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,50.8
South Africa,ZAF,2010,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,8.54
South Africa,ZAF,2005,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,12.82
South Africa,ZAF,2000,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,23.88
South Africa,ZAF,1995,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,6.14
South Africa,ZAF,1990,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,16.24
South Africa,ZAF,1985,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,24.5
South Africa,ZAF,1980,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,32.7
South Africa,ZAF,1975,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,37.19
South Africa,ZAF,1970,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,45.8
South Africa,ZAF,1965,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,46.79
South Africa,ZAF,1960,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,50.4
South Africa,ZAF,2010,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,10.16
South Africa,ZAF,2005,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,22.41
South Africa,ZAF,2000,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,25.86
South Africa,ZAF,1995,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,5.29
South Africa,ZAF,1990,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,17.34
South Africa,ZAF,1985,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,26.4
South Africa,ZAF,1980,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,39.65
South Africa,ZAF,1975,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,44.95
South Africa,ZAF,1970,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,47.6
South Africa,ZAF,1965,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,49.98
South Africa,ZAF,1960,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,50.8
South Africa,ZAF,2010,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,8.54
South Africa,ZAF,2005,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,20.33
South Africa,ZAF,2000,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,23.88
South Africa,ZAF,1995,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,6.14
South Africa,ZAF,1990,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,16.61
South Africa,ZAF,1985,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,24.5
South Africa,ZAF,1980,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,32.7
South Africa,ZAF,1975,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,44.29
South Africa,ZAF,1970,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,45.8
South Africa,ZAF,1965,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,48.45
South Africa,ZAF,1960,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,50.4
South Africa,ZAF,2010,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,18.21
South Africa,ZAF,2005,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,22.41
South Africa,ZAF,2000,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,35.13
South Africa,ZAF,1995,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,6.31
South Africa,ZAF,1990,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,17.54
South Africa,ZAF,1985,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,37.9
South Africa,ZAF,1980,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,41.77
South Africa,ZAF,1975,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,47.26
South Africa,ZAF,1970,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,49.6
South Africa,ZAF,1965,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,49.98
South Africa,ZAF,1960,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,56.4
South Africa,ZAF,2010,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,15.99
South Africa,ZAF,2005,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,20.33
South Africa,ZAF,2000,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,32.52
South Africa,ZAF,1995,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,6.97
South Africa,ZAF,1990,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,16.74
South Africa,ZAF,1985,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,35.1
South Africa,ZAF,1980,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,42.5
South Africa,ZAF,1975,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,44.29
